OBJECTID,GEO.id,acs_10kl,acs_1015,acs_1519,acs_2025,acs_2530,acs_3035,acs_3540,acs_4050,acs_5059,acs_6069,acs_7079,acs_8089,acs_9099,acs_1124,acs_12549,acs_15074,acs_17599,acs_20049,acs_25099,acs_30099,acs_40099,acs_500749,acs_750999,acs_1000
172,1400000US11001010600,13,0,0,0,32,0,0,19,0,0,0,0,0,0,16,7,0,30,151,135,198,227,7,0
173,1400000US11001010700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,64,40,70,18,8
76,1400000US11001010800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,17,23,8,0,18,0,0
174,1400000US11001010900,0,0,0,0,0,0,0,0,0,0,0,0,0,17,51,0,0,29,0,12,0,0,0,0
175,1400000US11001011000,0,0,0,0,19,0,0,0,0,0,22,0,0,109,59,51,217,303,335,420,99,190,0,50
176,1400000US11001011100,10,0,0,0,0,0,0,9,11,0,0,14,0,12,11,40,0,73,78,592,162,130,0,10
655,1400000US24031700101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,17,25,17,96,593,429,101
656,1400000US24031700103,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,16,0,20,70,193,494,621,326
657,1400000US24031700104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,104,64,193,352,334,516,71,0
543,1400000US24031700105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,132,205,693,330,434,51,0
658,1400000US24031700204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,33,98,123,170,137,84,33
659,1400000US24031700205,0,0,0,0,0,13,0,9,0,0,0,0,0,0,0,24,0,15,42,301,360,750,185,10
660,1400000US24031700206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,13,38,116,302,519,577,160,56
661,1400000US24031700207,0,0,0,0,0,6,0,0,0,0,9,0,0,8,69,4,56,140,113,618,345,104,43,0
662,1400000US24031700208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,51,106,125,192,59,36
544,1400000US24031700304,0,0,0,0,0,0,14,11,20,0,0,0,0,0,9,16,36,20,86,521,277,679,89,0
663,1400000US24031700306,0,0,0,0,0,0,16,20,0,0,0,0,0,0,21,12,32,101,273,818,535,311,0,0
625,1400000US24031700308,0,0,0,0,0,18,29,0,0,0,21,0,0,0,0,37,31,149,276,694,234,272,0,20
626,1400000US24031700309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,32,29,199,265,502,85,61,0,0
627,1400000US24031700310,0,0,0,0,0,0,0,0,0,0,0,0,12,32,25,98,169,316,346,381,155,30,0,11
628,1400000US24031700311,0,0,11,0,0,0,0,0,0,0,0,0,0,6,0,19,23,13,23,255,292,558,294,32
629,1400000US24031700312,0,0,0,0,0,0,0,0,0,0,0,0,0,19,12,0,25,15,42,194,354,462,42,113
630,1400000US24031700400,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,9,2,0,24,70,61,244,141,122
631,1400000US24031700500,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,15,14,78,85,443,358,680,196,55
632,1400000US24031700604,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,29,82,101,774,641,493
633,1400000US24031700606,0,0,0,0,0,0,0,14,7,0,0,0,0,0,0,0,0,0,48,110,129,918,115,40
545,1400000US24031700607,0,0,0,0,0,0,0,14,13,13,13,0,14,0,12,0,0,0,28,290,330,793,565,96
634,1400000US24031700608,0,0,12,0,0,0,0,0,0,0,0,12,5,9,11,11,30,6,11,49,0,123,289,1218
635,1400000US24031700610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,14,5,74,177,292,57,0
546,1400000US24031700611,0,0,0,0,0,0,0,20,24,0,11,0,13,0,7,26,79,20,0,89,27,832,372,35
636,1400000US24031700613,0,0,0,0,0,0,0,11,7,0,0,0,0,26,0,0,0,31,12,166,356,760,197,66
637,1400000US24031700614,0,0,0,0,0,0,0,0,0,0,0,0,0,29,26,14,89,512,125,319,82,134,0,0
638,1400000US24031700615,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,27,130,44,595,143,11
639,1400000US24031700616,0,0,0,0,0,0,16,20,0,0,0,0,0,0,0,0,0,42,61,179,196,524,378,17
640,1400000US24031700704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,29,0,308,137,202,0,8
641,1400000US24031700706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,79,206,35,46,13,0
547,1400000US24031700710,0,0,0,0,0,7,0,10,0,13,0,0,0,0,0,0,40,37,128,437,536,460,10,10
642,1400000US24031700711,0,0,0,0,0,0,24,9,0,0,0,0,0,0,13,21,52,40,107,322,366,391,22,0
643,1400000US24031700713,0,0,0,0,0,17,0,0,0,0,0,0,0,37,18,11,17,144,215,207,77,11,0,0
644,1400000US24031700715,0,0,0,0,16,12,0,11,0,0,0,0,0,0,0,14,20,110,114,556,445,209,0,0
645,1400000US24031700716,14,0,0,23,0,0,16,0,0,0,0,0,0,22,28,86,153,223,239,702,450,264,0,16
646,1400000US24031700717,0,0,0,0,0,0,20,0,13,0,21,0,0,11,39,29,52,125,152,354,180,262,73,0
548,1400000US24031700718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,18,0,12,122,210,486,70,0
647,1400000US24031700719,0,0,0,0,0,0,0,0,0,0,0,76,10,58,91,21,89,97,124,323,91,19,0,0
648,1400000US24031700720,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,16,0,13,0,76,230,285,0,0
649,1400000US24031700721,0,0,0,0,0,0,0,0,0,5,0,0,30,0,42,7,211,160,78,89,0,0,0,0
650,1400000US24031700722,0,0,0,0,0,0,21,0,0,0,0,0,0,21,17,51,34,90,292,255,53,36,30,0
549,1400000US24031700723,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,18,19,11,52,21,20,27,0,0
