,OBJECTID,GEO_ID_2,STATE,COUNTY,TRACT,NAME,LSAD,CENSUSAREA,GEOID_TXT,CTYFIPS,SHAPE_LENG,SHAPE_AREA,HC01_EST_VC02,HC03_EST_VC04,HC02_EST_VC21
190,191,1400000US51059430500,51,59,430500,4305.0,Tract,0.437,51059430500,51059,18143.6928795,12075073.163,0.0,46.5,26.7
191,192,1400000US51059430901,51,59,430901,4309.01,Tract,0.742,51059430901,51059,19237.8286548,20284930.5366,22.6,46.3,31.1
192,193,1400000US51059431801,51,59,431801,4318.01,Tract,0.549,51059431801,51059,28791.3834459,16252163.8512,5.8,37.7,53.7
193,194,1400000US51059431900,51,59,431900,4319.0,Tract,0.613,51059431900,51059,17791.7331542,16916214.4977,10.3,45.4,60.0
194,195,1400000US51059432300,51,59,432300,4323.0,Tract,1.147,51059432300,51059,23753.5458704,32459553.5937,15.2,53.0,30.4
195,196,1400000US51059432702,51,59,432702,4327.02,Tract,0.662,51059432702,51059,25127.2576832,17905398.9492,9.5,42.9,50.5
196,197,1400000US51059440600,51,59,440600,4406.0,Tract,1.34,51059440600,51059,27170.7352329,37401711.39,7.9,69.9,63.4
197,198,1400000US51059450200,51,59,450200,4502.0,Tract,0.513,51059450200,51059,18708.0970816,14207807.5505,7.0,57.4,50.1
198,199,1400000US51059450500,51,59,450500,4505.0,Tract,0.401,51059450500,51059,13892.572802,11128240.0641,24.7,50.3,27.7
199,200,1400000US51059450702,51,59,450702,4507.02,Tract,0.475,51059450702,51059,15644.7197515,13272217.7181,31.4,77.9,15.6
200,201,1400000US51059451300,51,59,451300,4513.0,Tract,0.676,51059451300,51059,20460.6658874,19266270.9728,0.0,100.0,16.7
