OBJECTID,GEO.id,dec_ssm,dec_ssmf,dec_ssf,dec_sso
806,1400000US24031702200,11,17,17,1413
807,1400000US24031702301,0,14,7,1349
808,1400000US24031702302,22,22,16,1585
809,1400000US24031702401,9,37,9,908
810,1400000US24031702402,9,29,6,1868
811,1400000US24031702601,17,53,9,2346
812,1400000US24031702602,0,75,9,2069
813,1400000US24031702700,0,49,7,2234
814,1400000US24031702800,0,16,31,2077
815,1400000US24031702900,22,38,0,2146
816,1400000US24031703000,7,22,6,622
817,1400000US24031703100,17,24,0,1495
818,1400000US24031703202,0,9,13,2082
819,1400000US24031703206,0,7,0,1233
820,1400000US24031703207,0,39,7,1662
821,1400000US24031703208,0,17,0,1689
822,1400000US24031703210,0,9,11,1052
823,1400000US24031703212,19,50,15,2655
824,1400000US24031703213,19,66,18,2031
825,1400000US24031703214,0,56,0,2342
826,1400000US24031703215,0,8,0,1101
827,,,,,
828,,,,,
829,,,,,
830,,,,,
831,1400000US24031703302,3,23,5,1129
832,1400000US24031703401,22,26,9,1415
833,1400000US24031703403,0,8,0,981
834,1400000US24031703404,0,41,6,736
835,1400000US24031703501,0,22,4,1920
836,1400000US24031703502,9,25,0,1137
837,1400000US24031703601,0,7,10,1621
838,1400000US24031703701,0,17,5,1069
839,1400000US24031703702,0,14,0,1260
840,1400000US24031703800,0,45,5,691
841,1400000US24031703901,18,0,0,1048
842,1400000US24031704000,16,36,0,2351
843,1400000US24031704100,8,8,10,1624
844,1400000US24031704200,0,5,11,707
845,1400000US24031704300,8,26,6,1305
846,1400000US24031704401,0,10,0,1084
847,,,,,
848,1400000US24031704501,0,15,0,1237
849,1400000US24031704503,0,9,0,1300
850,1400000US24031704600,0,9,11,2103
851,1400000US24031704700,0,7,0,1328
852,,,,,
853,,,,,
854,,,,,
855,1400000US24031705000,7,7,14,1798
856,1400000US24031705100,2,32,4,1839
857,1400000US24031705200,2,2,2,1147
858,1400000US24031705400,15,19,7,937
859,,,,,
860,,,,,
861,1400000US24031705702,7,20,0,1886
862,1400000US24031705800,7,42,10,2075
863,1400000US24031705902,0,10,5,1450
864,1400000US24031705903,0,0,7,1499
865,1400000US24031706005,8,9,5,1438
866,1400000US24031706007,11,13,21,2253
867,1400000US24031706008,0,6,7,1674
868,1400000US24031706009,16,0,0,1782
869,,,,,
870,,,,,
871,,,,,
872,1400000US24033800102,17,20,8,1204
873,1400000US24033800103,0,18,0,845
874,1400000US24033800105,7,24,13,1162
875,,,,,
876,,,,,
877,1400000US24033800203,7,40,11,1380
878,1400000US24033800206,9,37,0,1421
879,1400000US24033800208,19,48,0,2170
880,1400000US24033800210,0,42,0,1038
881,1400000US24033800211,9,58,6,1389
882,,,,,
883,,,,,
884,,,,,
885,1400000US24033800401,0,21,14,847
886,1400000US24033800402,17,39,13,1810
887,1400000US24033800403,0,6,0,1008
888,1400000US24033800409,0,24,0,1970
889,,,,,
890,,,,,
891,,,,,
892,1400000US24033800504,3,22,10,1690
893,1400000US24033800505,12,19,0,935
894,1400000US24033800507,0,18,0,789
895,1400000US24033800509,0,26,0,1903
896,1400000US24033800511,12,37,0,1883
897,,,,,
898,,,,,
899,,,,,
900,,,,,
901,,,,,
902,,,,,
903,1400000US24033800601,0,17,0,626
904,1400000US24033800604,0,13,0,577
905,1400000US24033800605,0,40,0,1156
906,1400000US24033800606,0,109,0,1803
907,,,,,
908,,,,,
909,1400000US24033800701,0,41,10,1478
910,,,,,
911,,,,,
912,,,,,
913,1400000US24033800800,9,16,0,1084
914,1400000US24033800900,0,17,2,509
915,,,,,
916,,,,,
917,1400000US24033801104,0,15,0,1903
