GEO_ID_2,ACSDE1,ACSde23,VD06,DEC1
1400000US24031701509,,,,
1400000US24031701602,,,,
1400000US24031701701,3618,2688,23,80
1400000US24031701702,2750,1118,29,63
1400000US24031701703,3625,1853,22,68
1400000US24031701704,2860,1560,16,126
1400000US24031701800,4819,2935,23,77
1400000US24031702000,4927,1253,22,93
1400000US24031702101,5918,991,30,76
1400000US24031701407,5766,2918,7,30
1400000US24031702200,3988,3169,41,86
1400000US24031702301,4115,1252,49,70
1400000US24031702302,3940,2112,61,121
1400000US24031702401,2479,1723,6,61
1400000US24031702402,3760,1899,84,128
1400000US24031702601,4016,2203,48,127
1400000US24031702602,4640,2466,102,186
1400000US24031702700,6099,3044,32,88
1400000US24031702800,4741,3148,108,155
1400000US24031702900,5034,4046,39,99
1400000US24031703000,1736,1238,19,54
1400000US24031703100,4710,3162,25,66
1400000US24031703202,5560,4412,21,43
1400000US24031703206,3771,1966,13,20
1400000US24031703207,4574,1696,49,95
1400000US24031703208,5216,3888,21,38
1400000US24031703210,3213,1629,6,26
1400000US24031703212,7800,4126,28,112
1400000US24031703213,5634,1680,51,154
1400000US24031703214,6574,1938,99,155
1400000US24031703215,2896,1284,20,28
1400000US24031703216,,,,
1400000US24031703219,,,,
1400000US24031703220,,,,
1400000US24031703221,,,,
1400000US24031703302,4155,2466,4,35
1400000US24031703401,5334,2183,22,79
