OBJECTID,GEO.id,dec_10kl,dec_1015,dec_1519,dec_2025,dec_2530_x,dec_3035,dec_3540,dec_4050,dec_5059,dec_6069,dec_7079,dec_8089,dec_9099,dec_1124,dec_12549,dec_15074,dec_17599,dec_20049,dec_25099,dec_30099,dec_40099,dec_500749,dec_2530_y,dec_1000
165,1400000US11001009903,0,0,0,7,0,0,7,0,0,0,14,48,90,104,26,15,0,21,0,0,0,0,0,0
166,1400000US11001009905,0,0,0,0,0,0,15,0,37,20,45,67,62,69,46,0,0,0,0,0,0,0,0,0
167,1400000US11001009907,0,0,0,0,0,0,0,0,0,0,35,77,100,32,16,23,8,0,0,0,0,0,0,0
168,,,,,,,,,,,,,,,,,,,,,,,,,
169,,,,,,,,,,,,,,,,,,,,,,,,,
170,,,,,,,,,,,,,,,,,,,,,,,,,
171,,,,,,,,,,,,,,,,,,,,,,,,,
172,,,,,,,,,,,,,,,,,,,,,,,,,
173,,,,,,,,,,,,,,,,,,,,,,,,,
174,,,,,,,,,,,,,,,,,,,,,,,,,
175,,,,,,,,,,,,,,,,,,,,,,,,,
176,,,,,,,,,,,,,,,,,,,,,,,,,
177,1400000US11001001902,0,0,0,0,0,0,0,0,0,0,12,5,12,65,193,182,93,84,13,6,0,0,0,0
178,1400000US11001008100,0,0,0,0,0,0,0,0,0,0,0,6,7,23,20,47,54,175,83,96,18,30,0,0
179,1400000US11001000801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,32,77,146,194,269,0,207
180,1400000US51059415100,0,0,0,0,0,0,0,0,0,0,0,0,22,6,42,145,65,110,137,123,101,146,0,16
181,,,,,,,,,,,,,,,,,,,,,,,,,
182,1400000US51059416000,0,0,0,0,0,0,0,0,7,29,8,0,5,16,29,59,104,371,142,45,35,0,0,5
183,1400000US51059420100,0,0,0,0,0,0,0,0,0,0,0,0,0,12,155,137,208,242,48,54,19,0,0,0
184,1400000US51059420800,0,0,0,0,0,0,0,0,0,0,0,0,0,20,254,361,141,80,80,65,33,5,0,7
185,1400000US51059421200,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,22,143,371,70,0,0,0,0,0
186,1400000US51059421600,0,0,0,0,11,0,0,27,47,67,104,62,14,22,141,81,36,8,4,0,0,0,11,0
187,1400000US51059421800,0,0,0,0,7,0,0,5,49,48,35,41,38,123,83,35,16,42,3,0,0,0,7,0
188,,,,,,,,,,,,,,,,,,,,,,,,,
189,,,,,,,,,,,,,,,,,,,,,,,,,
190,,,,,,,,,,,,,,,,,,,,,,,,,
