GEO_ID,ACS_MA,ACS_AAPp,ACS_24pb,ACS_24plh,ACS_25ph,ACS_25pb,ASC_UEP,ACS_NWP,ACS_p1000,ACS_MGR,ACS_OO,ACS_RO,ACS_FOC,ACS_FRC,ACS_BPL,ACS_MBPL,ACS_FBPL,ACS_MI
1400000US11001009301,41.8,71.4,15,6.9,30.1,43.7,7.2,35.8,0,984,0.79797126,0.20202874,0.053254438,0.078613694,23.2,15.7,29.7,72578
1400000US11001009302,39.7,77.2,22.9,64.4,22.9,39.6,8.4,26.6,0,817,0.62745098,0.37254902,0.104575163,0,4.4,8.5,0,63958
1400000US11001009400,45.3,86.8,10.7,22.6,25.4,36.3,12,30.5,0.029484029,885,0.681361607,0.318638393,0.021205357,0.0546875,8.7,10,7.6,70990
1400000US11001009501,20.8,53.1,2.7,2.7,26.8,21.2,4.9,44.3,0,1042,0.190579318,0.809420682,0.024905252,0.071467244,19.7,22.8,16.5,40536
1400000US11001009503,51.2,81,30.2,11.2,21.8,51.3,7,44.7,0,1221,0.94185022,0.05814978,0.036123348,0.014096916,8.8,8,9.5,70875
1400000US11001009504,44.8,73.5,56.9,8.4,25.9,34.2,6.5,45.7,0,875,0.469205835,0.530794165,0.012155592,0.094813614,13,12.3,13.8,50500
1400000US11001009505,47.2,87.9,7.7,14.4,27.9,34.3,2.4,42.2,0,1537,0.888686131,0.111313869,0.114051095,0.032846715,6.2,5.3,6.9,62462
1400000US11001009507,46.2,91,0,11.5,33.3,27.6,2.1,44,0,876,0.79204893,0.20795107,0.018348624,0.055045872,4.4,4.9,4,62986
1400000US11001009508,46.6,89.5,46.4,12.9,34.6,31.2,4.6,48.7,0,1025,0.597262248,0.402737752,0.017291066,0.029538905,9,9.2,8.8,47410
1400000US11001009509,50.5,88.7,11.9,18.2,30.2,28.5,8.2,42.2,0,1331,0.941176471,0.058823529,0.059663866,0.027731092,5.5,2.7,7.8,59286
1400000US11001009601,17.9,99.6,9.4,0,30.6,24.4,10.7,39.5,0,550,0.360655738,0.639344262,0.053864169,0.368852459,45.6,56.3,40.5,40929
1400000US11001009602,26.7,98.5,53.7,2.5,47,2.9,15.3,39.8,0,782,0.092165899,0.907834101,0.046082949,0.240399386,41.8,39.3,43.3,24786
1400000US11001009603,35.6,98.7,22.6,6.9,35.7,17.7,12.6,35.8,0,849,0.346925134,0.653074866,0.04144385,0.079545455,15.2,13.8,16.3,38404
1400000US11001009604,41.6,99.5,6.1,0,37.4,21,6.6,41.4,0.015558699,799,0.71703854,0.28296146,0.070993915,0.02535497,20.1,14.3,22.8,37441
1400000US11001009700,27.8,99.6,26,2.4,58.2,13.5,14.3,33.7,0,902,0.325925926,0.674074074,0.059259259,0.380952381,31.8,30.2,32.9,31549
1400000US11001009801,19.7,98.4,70.4,0,37.5,20.1,24,34.9,0,452,0.277078086,0.722921914,0.037783375,0.324937028,39.6,33.7,45.2,31917
1400000US11001009802,28.5,98.5,22.3,0,40.7,11.3,5,52.7,0,614,0.188605108,0.811394892,0,0.206286837,45.6,49.5,43,23633
1400000US11001009803,28.4,98,20.2,0,35.4,11,18.4,40.6,0,884,0.192746114,0.807253886,0,0.12642487,24.3,21.6,26.2,30625
1400000US11001009804,26,93.9,18.1,0,30.7,9.9,11.6,48.2,0.036101083,841,0.276447106,0.723552894,0,0.226546906,24.5,26.1,23.4,46554
1400000US11001009807,41.4,98.7,27.4,6.1,43.4,10.6,13.6,32.6,0,848,0.480358374,0.519641626,0.045485872,0.05789111,14.5,15.2,13.9,42420
1400000US11001009810,26.2,93.9,25.7,0,45.5,2.3,6.5,46.1,0,770,0.046908316,0.953091684,0,0.429637527,34.9,33.2,36.3,26234
1400000US11001009811,25.6,99.3,29,0,63.1,6.2,15,41.6,0,675,0.082119205,0.917880795,0,0.274172185,46.2,39.9,49.6,21713
1400000US11001009901,52.4,90.8,22.7,51.1,20.6,43.8,4,35.6,0,1359,0.86687631,0.13312369,0,0.011530398,6,2.8,8.5,76736
