OBJECTID,GEO.id,dec_ma,dec_tp,dec_tpp,dec_mp,dec_mpp,dec_fp,dec_fpp,dec_aap,dec_aapp
311,1400000US51059431600,37.9,6057,100.0,2989,49.3,3068,50.7,451,7.4
312,,,,,,,,,,
313,1400000US51059432000,33.6,3367,100.0,1606,47.7,1761,52.3,199,5.9
314,1400000US51059432100,39.2,3505,100.0,1649,47.0,1856,53.0,162,4.6
315,,,,,,,,,,
316,,,,,,,,,,
317,,,,,,,,,,
318,,,,,,,,,,
319,1400000US51059432500,39.1,5870,100.0,2878,49.0,2992,51.0,303,5.2
320,1400000US51059432600,37.1,4721,100.0,2348,49.7,2373,50.3,349,7.4
321,,,,,,,,,,
322,1400000US51059432800,32.8,2182,100.0,1050,48.1,1132,51.9,353,16.2
323,1400000US51059440100,43.7,7485,100.0,3598,48.1,3887,51.9,147,2.0
324,,,,,,,,,,
325,,,,,,,,,,
326,1400000US51059440300,43.5,2691,100.0,1328,49.3,1363,50.7,59,2.2
327,,,,,,,,,,
328,,,,,,,,,,
329,,,,,,,,,,
330,,,,,,,,,,
331,1400000US51059440800,44.0,5576,100.0,2705,48.5,2871,51.5,79,1.4
332,1400000US51059450100,33.0,5020,100.0,2558,51.0,2462,49.0,302,6.0
333,1400000US51059450300,35.8,4553,100.0,2229,49.0,2324,51.0,345,7.6
334,1400000US51059450400,42.2,2458,100.0,1186,48.3,1272,51.7,34,1.4
335,,,,,,,,,,
336,,,,,,,,,,
337,,,,,,,,,,
338,1400000US51059450800,41.1,3192,100.0,1555,48.7,1637,51.3,135,4.2
339,1400000US51059450900,40.1,1598,100.0,792,49.6,806,50.4,20,1.3
340,1400000US51059451000,42.8,2712,100.0,1284,47.3,1428,52.7,80,2.9
341,1400000US51059451100,44.7,2141,100.0,1071,50.0,1070,50.0,36,1.7
342,1400000US51059451200,48.2,1631,100.0,812,49.8,819,50.2,26,1.6
343,1400000US51059451400,30.9,3191,100.0,1739,54.5,1452,45.5,161,5.0
344,,,,,,,,,,
345,,,,,,,,,,
346,,,,,,,,,,
347,,,,,,,,,,
348,1400000US51059451800,40.8,3216,100.0,1564,48.6,1652,51.4,110,3.4
349,1400000US51059452000,44.2,2733,100.0,1262,46.2,1471,53.8,250,9.1
350,,,,,,,,,,
351,1400000US51059452200,35.8,6059,100.0,2987,49.3,3072,50.7,483,8.0
352,,,,,,,,,,
353,,,,,,,,,,
354,1400000US51059452400,36.6,6494,100.0,3259,50.2,3235,49.8,385,5.9
355,,,,,,,,,,
356,1400000US51059452600,36.5,4247,100.0,2054,48.4,2193,51.6,768,18.1
357,1400000US51059452700,32.4,4790,100.0,2326,48.6,2464,51.4,852,17.8
358,,,,,,,,,,
359,1400000US51059460100,42.3,3795,100.0,1875,49.4,1920,50.6,76,2.0
360,1400000US51059460400,39.9,4310,100.0,2065,47.9,2245,52.1,130,3.0
361,,,,,,,,,,
362,,,,,,,,,,
363,,,,,,,,,,
364,,,,,,,,,,
365,1400000US51059460800,40.2,2878,100.0,1392,48.4,1486,51.6,67,2.3
366,1400000US51059460900,44.4,2262,100.0,1115,49.3,1147,50.7,34,1.5
367,1400000US51059461100,41.0,6939,100.0,3492,50.3,3447,49.7,152,2.2
368,,,,,,,,,,
369,,,,,,,,,,
370,1400000US51059461500,37.6,5199,100.0,2569,49.4,2630,50.6,192,3.7
371,,,,,,,,,,
372,1400000US51059461700,33.8,5811,100.0,2940,50.6,2871,49.4,318,5.5
373,,,,,,,,,,
374,,,,,,,,,,
375,,,,,,,,,,
376,1400000US51059470100,44.5,2847,100.0,1423,50.0,1424,50.0,35,1.2
377,1400000US51059470300,45.5,3132,100.0,1511,48.2,1621,51.8,52,1.7
378,1400000US51059470400,43.8,4754,100.0,2293,48.2,2461,51.8,118,2.5
379,1400000US51059470500,44.1,5121,100.0,2424,47.3,2697,52.7,69,1.3
380,1400000US51059470700,41.5,4973,100.0,2436,49.0,2537,51.0,98,2.0
381,1400000US51059470800,42.9,2782,100.0,1320,47.4,1462,52.6,53,1.9
382,1400000US51059470900,42.7,6359,100.0,3023,47.5,3336,52.5,82,1.3
383,1400000US51059471100,36.8,6479,100.0,3279,50.6,3200,49.4,154,2.4
384,,,,,,,,,,
385,,,,,,,,,,
386,,,,,,,,,,
387,,,,,,,,,,
388,,,,,,,,,,
389,,,,,,,,,,
390,1400000US51059480100,44.2,4076,100.0,2061,50.6,2015,49.4,45,1.1
391,,,,,,,,,,
392,,,,,,,,,,
393,1400000US51059480300,42.9,6552,100.0,3258,49.7,3294,50.3,136,2.1
394,,,,,,,,,,
395,,,,,,,,,,
396,,,,,,,,,,
397,,,,,,,,,,
398,,,,,,,,,,
399,,,,,,,,,,
400,,,,,,,,,,
401,,,,,,,,,,
402,,,,,,,,,,
403,,,,,,,,,,
404,,,,,,,,,,
405,,,,,,,,,,
406,,,,,,,,,,
407,,,,,,,,,,
408,,,,,,,,,,
409,,,,,,,,,,
410,,,,,,,,,,
411,1400000US51059481400,41.0,6294,100.0,3029,48.1,3265,51.9,555,8.8
412,1400000US51059481500,46.7,2143,100.0,1096,51.1,1047,48.9,68,3.2
413,1400000US51059481600,43.2,3052,100.0,1503,49.2,1549,50.8,45,1.5
414,,,,,,,,,,
415,1400000US51059481900,35.9,5518,100.0,2601,47.1,2917,52.9,476,8.6
416,,,,,,,,,,
417,1400000US51059482100,36.0,3225,100.0,1623,50.3,1602,49.7,315,9.8
418,,,,,,,,,,
419,,,,,,,,,,
420,,,,,,,,,,
421,,,,,,,,,,
422,,,,,,,,,,
423,1400000US51059482400,40.0,2373,100.0,1191,50.2,1182,49.8,93,3.9
424,,,,,,,,,,
425,,,,,,,,,,
426,,,,,,,,,,
427,,,,,,,,,,
428,,,,,,,,,,
429,,,,,,,,,,
430,,,,,,,,,,
431,,,,,,,,,,
432,1400000US51059491000,36.7,1911,100.0,958,50.1,953,49.9,52,2.7
433,,,,,,,,,,
434,,,,,,,,,,
435,,,,,,,,,,
436,,,,,,,,,,
437,,,,,,,,,,
438,,,,,,,,,,
439,,,,,,,,,,
440,,,,,,,,,,
441,,,,,,,,,,
442,,,,,,,,,,
443,,,,,,,,,,
444,,,,,,,,,,
445,,,,,,,,,,
446,,,,,,,,,,
447,,,,,,,,,,
448,,,,,,,,,,
449,,,,,,,,,,
450,,,,,,,,,,
451,,,,,,,,,,
