OBJECTID,GEO.id,acs_lf,dec_lfp,acs_em,acs_emp_x,acs_emp_y,acs_ue,acs_uep,acs_nw,acs_nwp,acs_flf,acs_flfp
520,1400000US51510200201,925,1.8,1850,67.5,67.5,33,1.2,129,29.6,1420,1420
521,1400000US51510200202,376,0.6,734,59.3,59.3,22,1.8,131,38.2,707,707
522,1400000US51510200302,1393,0.0,2462,75.0,75.0,125,3.8,286,21.2,1887,1887
523,1400000US51510200303,1585,1.5,2965,71.1,71.1,118,2.8,126,24.6,2224,2224
524,1400000US51510200403,503,9.8,1036,85.0,85.0,22,1.8,166,3.4,509,509
525,1400000US51510200404,1180,5.8,2224,75.9,75.9,24,0.8,154,17.5,1593,1593
526,1400000US51510200406,1491,0.3,2770,77.9,77.9,95,2.7,107,19.0,1859,1859
527,1400000US51510200407,1165,0.6,2031,59.8,59.8,87,2.6,147,37.1,2000,2000
528,1400000US51510200703,933,2.8,1542,70.8,70.8,155,7.1,98,19.2,1141,1141
529,1400000US51510200801,668,0.4,1282,61.6,61.6,145,7.0,77,31.0,1062,1062
530,1400000US51510200802,827,0.9,1761,74.8,74.8,100,4.2,165,20.0,1185,1185
531,1400000US51510201000,1249,1.8,1986,80.9,80.9,110,4.5,140,12.9,1454,1454
532,1400000US51510201100,786,1.8,1563,74.1,74.1,68,3.2,156,20.9,1110,1110
533,1400000US51510201202,969,1.1,2048,80.2,80.2,38,1.5,194,17.3,1246,1246
534,1400000US51510201203,1459,4.2,3546,76.9,76.9,201,4.4,156,14.5,1999,1999
535,,,,,,,,,,,,
536,,,,,,,,,,,,
537,,,,,,,,,,,,
538,,,,,,,,,,,,
539,1400000US51610500100,607,0.5,1383,67.3,67.3,46,2.2,175,29.9,1018,1018
540,1400000US51610500200,1770,1.1,2925,71.7,71.7,279,6.8,240,20.3,2324,2324
541,1400000US51059420400,796,3.0,1664,84.5,84.5,71,3.6,89,8.9,873,873
542,1400000US51059482002,889,0.0,1993,69.7,69.7,96,3.4,244,27.0,1435,1435
543,1400000US24031700105,2157,0.0,3929,76.5,76.5,261,5.1,384,18.5,2798,2798
544,1400000US24031700304,2096,0.6,3963,73.8,73.8,230,4.3,441,21.3,2883,2883
545,1400000US24031700607,2112,0.0,4254,68.1,68.1,257,4.1,629,27.8,3277,3277
546,1400000US24031700611,1507,0.6,2920,75.8,75.8,148,3.8,361,19.7,2026,2026
547,1400000US24031700710,1781,0.4,3665,70.8,70.8,204,3.9,308,24.8,2511,2511
548,1400000US24031700718,1105,2.1,2391,72.4,72.4,51,1.5,342,24.0,1704,1704
549,1400000US24031700723,369,0.0,876,30.2,30.2,24,0.8,115,68.9,1740,1740
550,1400000US24031700815,2304,0.9,4802,76.5,76.5,203,3.2,527,19.3,3049,3049
551,1400000US24031700820,859,0.3,1781,82.3,82.3,68,3.1,262,14.3,1071,1071
552,1400000US24031700824,741,0.8,1491,71.0,71.0,52,2.5,88,25.7,1140,1140
553,1400000US24033803001,812,0.0,1439,63.0,63.0,226,9.9,140,27.1,1193,1193
554,1400000US24033803002,919,0.0,1260,58.8,58.8,298,13.9,125,27.3,1223,1223
